식당명,주소,콜키지,병수제한,잔지원,전화번호,위도,경도,마지막확인
서석대,서울특별시 서초구 서초대로 346 동아빌라트 A동 1층,무료,,N,061-721-0092,37.495175,127.019459,
어부지리,인천광역시 연수구 한나루로201번길 23,무료,,N,031-235-8844,37.4276842,126.655835,
경천애인2237 여의도점,서울특별시 영등포구 국제금융로8길 31 지하2층 B203,무료,,N,02-6196-2237,37.519746,126.9280666,
제주포램,제주특별자치도 제주시 국기중길 4 제주포램,무료,,N,064-747-9292,33.4806397,126.4910591,
소연,서울특별시 서대문구 통일로9안길 20-1 1， 2층,무료,,N,02-587-4490,37.5664034,126.9650791,
무판,서울특별시 중랑구 망우로 286,무료,,N,02-6448-8253,37.5958059,127.0842668,
봄의정원,서울특별시 성동구 마조로7길 13 지층 봄의정원 왕십리점,무료,,N,02-461-0201,37.5607301,127.0398555,
바른고기 정육점 을지로점,서울특별시 중구 청계천로 100 B1F,무료,,N,02-6020-0606,37.5676514,126.9884451,
스시애월,제주특별자치도 제주시 애월읍 장전로 57,무료,,N,064-799-2008,33.4521948,126.384271,
검단양만,서울특별시 송파구 백제고분로7길 40-17 손예빌딩,무료,,N,02-3431-9555,37.5100643,127.083593,
탄영,세종특별자치시 나성로 125-10 105호,무료,,N,,36.4900511,127.2581979,
고깃느루,인천광역시 부평구 경원대로1377번길 45-10 고깃느루,무료,,N,032-506-1150,37.4934439,126.7217156,
우미남,경기도 화성시 동탄반석로 172 파라곤상가 1층 115호 우미남,무료,,N,010-7658-1352,37.2036005,127.0725111,
정선한우,경기도 성남시 분당구 하오개로 357,무료,,N,031-8017-8014,37.3917238,127.0587977,
여수밤바다,서울특별시 동작구 동작대로25길 27,무료,,N,031-718-1660,37.4857968,126.9807162,
사유의서재,서울특별시 중구 퇴계로20길 13,무료,,N,070-7613-0957,37.5596784,126.9858804,
마초생고기,경기도 성남시 분당구 미금일로86번길 16,무료,,N,031-719-1133,37.3474128,127.110463,
소믈리에,서울특별시 중구 퇴계로46길 33 3층 한국국제소믈리에협회,무료,,N,051-867-1025,37.5611604,126.9997113,
루스트플레이스 아라점,제주특별자치도 제주시 아란7길 3-3 201호,무료,,N,064-724-9008,33.4740388,126.5451357,
우애,서울특별시 마포구 동교로38길 42-6 1층 101호 우애돈카츠 연남점,무료,,N,02-549-3334,37.5610304,126.9255679,
도마3,서울특별시 서초구 서초대로78길 48 송림빌딩 1층 101호 도마3 강남본점,무료,,N,02-525-2159,37.4935541,127.0287695,
땡이네소곱창,경기도 수원시 영통구 영통로213번길 16,무료,,N,010-8422-2908,37.2464758,127.0560259,
유엔가든,서울특별시 강남구 테헤란로 231 2층 E201호,무료,,N,02-3785-1113,37.5035792,127.0416355,
육분당,경기도 성남시 분당구 미금일로90번길 32 웰파크 116호,무료,,N,031-714-5592,37.3488307,127.1104666,
도마 홍대본점,서울특별시 마포구 양화로16길 33,무료,,N,02-3143-0365,37.5530754,126.921419,
우슐랭,경기도 고양시 덕양구 화신로272번길 21 오케이프라자 2층,무료,,N,,37.6319333,126.8312682,
테스트키친,서울특별시 성동구 성수일로 56 성수동BY센터,무료,,N,010-5612-2449,37.5453418,127.0502658,
오목교곱창,서울특별시 양천구 목동동로 226-13 1층 오목교곱창,무료,,N,02-2652-5399,37.5255779,126.8728589,
속초진수산,서울특별시 광진구 능동로7길 49,무료,,N,02-432-7717,37.5375473,127.0664602,
크래버대게나라 강남점,서울특별시 강남구 언주로 620,무료,,N,02-547-7998,37.5114996,127.0363587,
정량수산포차,경기도 안양시 동안구 동편로20번길 43 데이드림오피스텔 105호,무료,,N,,37.4062048,126.9731981,
순우블랙,서울특별시 중구 명동9길 37-3,무료,,N,02-757-1592,37.5654157,126.9840365,
동해수산,서울특별시 중구 동호로35길 27,무료,,N,031-292-9062,37.566175,127.00065,
고반식당 용인보정점,경기도 용인시 기흥구 죽전로15번길 4-9 1층 고반식당,무료,,N,031-889-1506,37.3210188,127.1106795,
대한극장,서울특별시 중구 퇴계로 220 1호 (충무로4가),무료,,N,02-6677-5555,37.5615229,126.9962515,
동촌,대구광역시 동구 동촌로11길 5 동촌동주민센터,무료,,N,02-793-9295,35.8899028,128.6496804,
투뿔등심 논현본점,서울특별시 강남구 언주로148길 19,무료,,N,02-3448-5646,37.5209399,127.0360973,
울프스덴,경기도 성남시 분당구 대왕판교로 660 유스페이스1 제 215호 울프스덴,무료,,N,031-628-1887,37.400142,127.1074412,
주돈,서울특별시 광진구 군자로 168 1층 주돈,무료,,N,,37.5557737,127.0774131,
아침목장 정육식당,충청남도 아산시 배방읍 배방로 239-5 아침목장정육식당,무료,,N,041-549-6662,36.7712315,127.0724377,
송추가마골 인 어반 목동점,서울특별시 양천구 목동동로 293 현대41타워 3층,무료,,N,02-6959-5461,37.5281774,126.8757768,
장사랑 서초점,서울특별시 강남구 언주로165길 7-4,무료,,N,02-537-9293,37.525561,127.032299,
곱창이곶,서울특별시 서초구 방배로 58,무료,,N,02-588-4688,37.4799926,126.9989783,
압구정육식당,서울특별시 강남구 압구정로29길 69 현대10차상가 지층 1호,무료,,N,02-514-6692,37.5318156,127.0261716,
본수원갈비 이천점,경기도 이천시 경충대로 2541,무료,,N,031-633-8434,37.273643,127.450687,
지오바니,서울특별시 종로구 종로 119,무료,,N,031-875-1102,37.5706137,126.9908031,
닐리 보라점,경기도 용인시 기흥구 한보라1로 14 베스트프라자,무료,,N,031-287-4096,37.2536832,127.1094441,
마루돈가,경기도 성남시 분당구 황새울로258번길 10-9 영성라벤더,무료,,N,031-715-3692,37.3799409,127.11612,
락희옥 서초교대역점,서울특별시 서초구 반포대로30길 63 영서빌딩 1， 2층,무료,,N,02-582-5958,37.4926254,127.012074,
온비프,경기도 화성시 동탄대로 646-4 메가비즈타워B동 111-116 1층 온비프,무료,,N,,37.2112718,127.0999655,
화포식당 논현점,서울특별시 강남구 논현로131길 12,무료,,N,02-512-9285,37.5144189,127.0292654,
투뿔등심 고담 삼성점,서울특별시 강남구 테헤란로87길 33,무료,,N,02-568-7710,37.5098056,127.0578868,
전구식당,인천광역시 연수구 컨벤시아대로 50 1층135，146，147호(송도 푸르지오월드마크1단지),무료,,N,032-831-1230,37.3982071,126.6510967,
꼼떼,서울특별시 서대문구 충정로 29 동아일보 충정로사옥 1층,무료,,N,02-433-2001,37.562036,126.9634589,
한우등심전문돌판구이,인천광역시 연수구 컨벤시아대로 80 한우등심전문돌판구이,무료,,N,032-832-8592,37.3953068,126.6489583,
소설옥,서울특별시 용산구 녹사평대로40길 31,무료,,N,02-797-6506,37.5347707,126.9875647,
길섶한우 대곡점,대구광역시 달서구 명천로 43 길섶한우,무료,,N,053-634-9599,35.8058237,128.5121251,
등심연구소 세종점,세종특별자치시 달빛로 228 1층,무료,,N,044-866-4991,36.5190797,127.2526669,
제이스팟(J's Pot),경기도 성남시 분당구 판교역로 152 알파돔타워3동 3층,무료,,N,031-622-7179,37.3943208,127.1103247,
우심 동탄역점,경기도 화성시 동탄역로 102 1층,무료,,N,,37.195714,127.0983747,
장천집,서울특별시 노원구 동일로217가길 11 평화빌딩202호 장천,무료,,N,055-545-6323,37.6534433,127.0599544,
웨이크앤베이크(Wake&Bake),서울특별시 성동구 서울숲2길 28-12 지하1층,무료,,N,070-8835-3565,37.5465891,127.0414367,
동해안백골뱅이,서울특별시 성동구 무학로2길 48 1층,무료,,N,02-2298-9933,37.5623773,127.034734,
피쉬스토리,서울특별시 강남구 압구정로50길 7 정동상가 1층 16호,무료,,N,02-3447-2067,37.5276795,127.0389056,
수아에피스,서울특별시 강남구 선릉로157길 27 2층,무료,,N,02-548-2191,37.5262024,127.0375926,
창고43 무교점,서울특별시 중구 무교로 21 더익스체인지서울 2층,무료,,N,02-3789-0043,37.5679434,126.9789167,
청기와타운 남영점,서울특별시 용산구 한강대로 284 1층， 2층 청기와타운 남영점,무료,,N,02-3785-1474,37.5436573,126.9726546,
용문객잔,서울특별시 강동구 구천면로41길 14 유성빌딩,무료,,N,,37.5467235,127.1333008,
동선수산 1호점,강원특별자치도 강릉시 주문진읍 해안로 1760,무료,,N,033-661-8892,37.8919968,128.8291403,
월촌도야지,서울특별시 양천구 목동동로 293 2층 월촌도야지,무료,,N,,37.5281774,126.8757769,
더마블링,서울특별시 영등포구 63로 32 라이프콤비빌딩 104호,무료,,N,02-794-4671,37.5189363,126.9390518,
세광양대창 파주야당점,경기도 파주시 경의로 1074 2층 208호,무료,,N,031-948-1074,37.7131738,126.7599678,
제주담,서울특별시 강서구 마곡중앙6로 45 리더스퀘어 B동 3층 307호,무료,,N,02-3663-2231,37.5606262,126.8327269,
자수정,서울특별시 종로구 우정국로 69 동일빌딩,무료,,N,02-2068-9530,37.5752294,126.9823921,
하누마루,경기도 김포시 통진읍 서암로 77,무료,,N,031-622-7500,37.6920349,126.5986769,
도니누가,경기도 수원시 권선구 서수원로523번길 20-9 도니누가,무료,,N,031-295-5137,37.272226,126.9581164,
어바웃더그릴,대전광역시 서구 갈마역로 25 지하1층 어바웃더그릴,무료,,N,042-822-7081,36.3527207,127.3740058,
유림한우,경상북도 포항시 북구 흥해읍 초곡지구로52번길 28-11,무료,,N,,36.0978933,129.3366317,
타이리셔스,경기도 고양시 일산서구 호수로 817 일산 현대백화점 킨텍스점 8층 타이리셔스,무료,,N,02-790-5447,37.6685636,126.751102,
고반식당 선릉점,서울특별시 강남구 역삼로63길 21 한티 빌딩,무료,,N,02-568-0099,37.5025395,127.0519044,
청기와타운 을지로점,서울특별시 중구 을지로 54 1층 청기와타운 을지로점,무료,,N,,37.5659111,126.9836965,
미미곱창,서울특별시 강남구 강남대로156길 27 1층,무료,,N,,37.5186773,127.0213654,
청류벽,서울특별시 서초구 서초대로74길 29 1층 청류벽,무료,,N,02-2055-1191,37.4948691,127.0274078,
운봉산장,서울특별시 동작구 장승배기로 118-1 신응범치과의원,무료,,N,02-815-2850,37.508079,126.940258,
창고43 교대점,서울특별시 서초구 서초대로 301 B1 층,무료,,N,02-534-4003,37.4942234,127.0144224,
배꼽집 논현점,서울특별시 강남구 강남대로128길 22 지하 배꼽집,무료,,N,02-539-3323,37.5101612,127.024082,
섬 맛의 공방 제주이야기,서울특별시 송파구 법원로11길 7 C동 1층 156호,무료,,N,02-406-0919,37.4848772,127.1191543,
창고43 샛강점,서울특별시 영등포구 여의대방로 376 나라키움여의도 2층,무료,,N,02-783-4343,37.5182848,126.9311257,
소들녘 광명점,경기도 광명시 오리로876번길 6,무료,,N,02-2618-0660,37.4764034,126.8659959,
잠실백정,서울특별시 송파구 백제고분로7길 28-7 1층,무료,,N,,37.5103851,127.0822074,
고기상,인천광역시 남동구 논현로26번길 34 101호,무료,,N,02-6014-0242,37.4022501,126.7083632,
심연한우,서울특별시 강남구 학동로4길 15,무료,,N,02-6339-1666,37.5107823,127.02329,
더라운드(The Round),서울특별시 강남구 선릉로148길 37 지하1，지상1，2층,무료,,N,02-545-4448,37.5230044,127.0425513,
강소식당,서울특별시 강동구 올림픽로48길 28 1층 102호,무료,,N,031-212-8382,37.5289253,127.1214913,
팔십상참치,인천광역시 연수구 인천타워대로 253-25 아트윈푸르지오 상가 210호,무료,,N,010-7138-6658,37.3922409,126.6324367,
화로양미,서울특별시 성동구 상원4길 9 화로양미,무료,,N,070-7818-8886,37.5472665,127.0496411,
참나무본가,서울특별시 마포구 마포대로6길 10 2층,무료,,N,02-355-2095,37.5452482,126.9530924,
돈블랑 송파문정역점,서울특별시 송파구 송파대로 201 송파테라타워2 B동 1층 129-135호,무료,,N,02-881-5950,37.4878919,127.1206002,
우진가 더 챔버스,서울특별시 강남구 테헤란로27길 28,무료,,N,02-568-4234,37.5032275,127.037566,
청년화로1987,서울특별시 마포구 동교로 219 1층 청년화로1987 홍대본점,무료,,N,070-8808-1159,37.5596459,126.9235898,
간사이등심(2층),경기도 수원시 영통구 매탄로100번길 25 2층 간사이등심,무료,,N,,37.259431,127.0446871,
피렌체카페,서울특별시 강남구 언주로 548 1층,무료,,N,051-731-2695,37.5070965,127.040425,
루스트플레이스 노형점,제주특별자치도 제주시 수덕로 79,무료,,N,064-745-9004,33.4838595,126.4699171,
일편등심 강남점,서울특별시 강남구 테헤란로1길 20 지하1층 일편등심 강남점,무료,,N,070-7576-3723,37.4996332,127.0278063,
사눅타이,서울특별시 영등포구 국제금융로8길 2 지하1층,무료,,N,02-2699-9680,37.5218969,126.9299944,
함평원,서울특별시 서초구 서초대로 287 석정빌딩 지하1층,무료,,N,02-595-3200,37.4937818,127.0130096,
다하누,인천광역시 연수구 청량로 102,무료,,N,032-858-9209,37.4171697,126.6561462,
우진가,서울특별시 강남구 테헤란로27길 28,무료,,N,02-537-4234,37.5032275,127.037566,
일미락,서울특별시 성동구 상원6나길 22-20 1층 성수일미락,무료,,N,02-2642-9292,37.5476474,127.0495907,
밥상위의 한우 송천점,전북특별자치도 전주시 덕진구 사근1길 31 208，209,무료,,N,063-277-2209,35.8666171,127.1309563,
오막집,서울특별시 강서구 공항대로 237 에이스타워마곡 2층 215호,무료,,N,051-742-8009,37.5594527,126.8339126,
우도,,무료,1,N,02-6083-0365,33.500772,126.9608572,
억조1978,서울특별시 양천구 목동동로10길 24 2층,무료,,N,,37.5194485,126.8723452,
동해킹크랩대게,서울특별시 관악구 신림로 286,무료,,N,031-501-5633,37.4800453,126.9309678,
크라운돼지,서울특별시 강남구 강남대로156길 17-1,무료,,N,02-512-5700,37.518497,127.0205026,
호반,서울특별시 종로구 삼일대로26길 20,무료,,N,02-745-6618,37.5733361,126.9891446,
야키로,전북특별자치도 군산시 동수송7길 4 야키로,무료,,N,063-465-7444,35.9647283,126.7186608,
신사고집,서울특별시 서초구 나루터로 70 1층101호,무료,,N,02-3443-8292,37.5153862,127.0176962,
등심연구소 관평점,대전광역시 유성구 테크노중앙로 37 2층,무료,,N,010-4797-1656,36.4271856,127.3900141,
모다미육,서울특별시 광진구 동일로 178 107호,무료,,N,010-8571-7970,37.5477248,127.0678802,
우리동네참치정육점,인천광역시 계양구 주부토로 522 근주상가 108호,무료,,N,02-6082-0213,37.5406413,126.7284246,
수참치,인천광역시 부평구 평천로 290 1층 104호,무료,,N,042-472-9292,37.51641,126.7225868,
100년한우,경기도 수원시 팔달구 경수대로428번길 23,무료,,N,031-233-3232,37.2641447,127.0270281,
육즙당,서울특별시 종로구 새문안로5길 10-1 2층,무료,,N,,37.5712604,126.9750415,
돈뭉치,서울특별시 서대문구 영천시장길 30 1층,무료,,N,051-621-3328,37.5707493,126.9609214,
닭갈비두목,서울특별시 강남구 논현로75길 13 1층， 닭갈비두목,무료,,N,02-508-5509,37.4962838,127.0377029,
밥상위의 한우 본점,전북특별자치도 전주시 완산구 천잠로 341,무료,,N,063-223-7666,35.8170424,127.0942295,
청정해참치,서울특별시 서초구 강남대로 221 동성빌딩201호청정해참치,무료,,N,02-577-4419,37.4832899,127.034737,
하누비노 정자점,경기도 성남시 분당구 정자일로 136 정자역 엠코헤리츠 3단지 101호,무료,,N,031-719-2192,37.3621234,127.1061914,
일층,서울특별시 강동구 양재대로89가길 14,무료,,N,010-9282-2667,37.525969,127.1345943,
제주곳간,제주특별자치도 제주시 한북로 215-1,무료,,N,010-5489-8884,33.4605324,126.5385919,
영동그집,서울특별시 강남구 봉은사로1길 42-8,무료,,N,,37.507466,127.0244451,
경성양꼬치,서울특별시 종로구 삼일대로17길 42-6,무료,,N,031-716-6388,37.5694407,126.9852274,
화로로,충청남도 공주시 번영1로 72-6 1층 화로로,무료,,N,032-421-9333,36.4731819,127.1356974,
한담,서울특별시 용산구 한강대로38길 17,무료,,N,02-792-3393,37.5296369,126.9699284,
양재정육식당 역삼뱅뱅점,서울특별시 서초구 효령로 426 1，2층,무료,,N,02-566-5804,37.4889525,127.0304701,
523,서울특별시 광진구 광장로 49 1층 카페523,무료,,N,02-332-7311,37.5470777,127.1027493,
백송,서울특별시 종로구 수표로22길 36,무료,,N,010-9295-6292,37.5714949,126.9909092,
램스테이블,서울특별시 서대문구 충정로 47 1층 버스정류장 뒤,무료,,N,033-244-9299,37.5631325,126.9643742,
이속우화,서울특별시 용산구 한남대로20길 61 지1층 이속우화,무료,,N,,37.5349267,127.0102282,
송포갈비,서울특별시 서초구 나루터로15길 7-2 1층 송포갈비,무료,,N,02-515-8488,37.5161535,127.0183803,
돝플러스,서울특별시 서초구 서초대로25길 55 1층,무료,,N,02-536-9233,37.4902621,126.9928926,
한상,서울특별시 중구 세종대로 135 코리아나호텔 2층,무료,,N,02-6402-7887,37.5683348,126.976584,
마당,서울특별시 중구 세종대로 92 한화금융센터_태평로,무료,,N,051-744-5400,37.5641588,126.9774529,
어쭈 서면본점,부산광역시 부산진구 서면로 26 1층,무료,,N,051-803-5244,35.1531019,129.0580069,
안동국시 소호정 서현점,경기도 성남시 분당구 새마을로 55,무료,,N,031-704-7077,37.3835002,127.1368727,
또오리,서울특별시 종로구 성균관로 6-4 또오리,무료,,N,02-762-5292,37.5836903,126.9986207,
동화반점,서울특별시 관악구 관악로 268 광주약국,무료,,N,02-2265-9224,37.487872,126.958259,
쉐프 깐딴떼(Chef Cantante),경기도 광주시 순암로 55 엘림빌딩 2층,무료,1,N,031-718-9239,37.3944685,127.2430239,
모도우 여의도점,서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 405， 406호,무료,,N,02-6082-8324,37.5238818,126.924138,
루스트플레이스 시청점,제주특별자치도 제주시 중앙로 230-1 1층,무료,,N,064-757-9004,33.4989568,126.5297739,
소호66,서울특별시 영등포구 국회대로66길 19 프리베로빌딩 2층,무료,,N,02-761-0066,37.5283375,126.9196639,
한우촌,서울특별시 성동구 마장로35길 68 마축일축산물시장,무료,,N,055-224-1100,37.570819,127.041349,
송화산시도삭면 2호점,서울특별시 광진구 아차산로30길 33,무료,,N,02-468-7826,37.5392026,127.0672414,
누메로도스(Numero Dos),서울특별시 성동구 상원1길 35-9,무료,,N,02-468-7943,37.5463758,127.0473386,
사계절어촌,경기도 고양시 일산서구 주엽로 80 A동 3층,무료,,N,031-929-6765,37.6662884,126.7559694,
유래회관,서울특별시 성동구 마장로 196 유래회관,무료,,N,02-2293-8866,37.5664779,127.0315341,
총체보리한우 대전점,대전광역시 서구 만년로 80 1층,무료,,N,042-482-0985,36.3671644,127.381701,
대봉집,서울특별시 강남구 압구정로2길 57 1층 대봉집,무료,,N,02-549-0155,37.5182269,127.0214639,
옴팡집,경기도 고양시 일산동구 약산길 5-6,무료,,N,02-784-3644,37.6798376,126.7916962,
루스트플레이스 베라체점,제주특별자치도 제주시 승천로 73 한라 훠 프라자,무료,,N,064-755-9004,33.4924271,126.5429525,
소모임,서울특별시 영등포구 영신로25길 5 2층 204호,무료,,N,070-7750-8033,37.5167878,126.9013984,
서양반주식당,서울특별시 광진구 뚝섬로56길 22 ， 1층 101호(자양동， 드림팰리스 6차),무료,,N,02-6339-1158,37.5304091,127.0824268,
고스이,경기도 고양시 일산동구 호수로 640 청원레이크빌 212호,무료,,N,031-901-1600,37.65925,126.7673706,
오모테나시,서울특별시 영등포구 양평로 100 2층 코지로 오모테나시 선유도점,무료,,N,070-7514-1085,37.5368933,126.8963527,
양우정,경기도 성남시 분당구 대왕판교로606번길 10 라스트리트 1동 112호,무료,,N,031-706-9252,37.395446,127.1088051,
나지무,서울특별시 은평구 은평로 37,무료,,N,053-213-4994,37.5984914,126.912094,
뚝심한우 광화문점,서울특별시 종로구 종로5길 7 Tower8 B1,무료,,N,02-6226-8088,37.5705646,126.9809235,
칭하이,서울특별시 서초구 효령로68길 88 진영빌딩,무료,,N,02-586-8889,37.4855289,127.020189,
루스트플레이스 아이파크점,제주특별자치도 제주시 노형8길 9 2층， 3층 루스트 플레이스,무료,,N,064-712-9004,33.4842497,126.4780827,
３０,,무료,,N,,37.568139,126.978978,
흙향,전라남도 나주시 산포면 산포로 371,무료,,N,02-3495-0092,35.0314093,126.8050956,
셰프박 와인통삼겹,인천광역시 중구 운남동로3번길 17,무료,,N,032-751-8682,37.4893694,126.5330939,
대련한우프라자,경상북도 포항시 북구 흥해읍 새마을로 326,무료,,N,054-261-6656,36.0463663,129.3285772,
우주옥,서울특별시 마포구 동교로50길 11 B02 우주옥,무료,,N,,37.5636346,126.9267893,
야나기,서울특별시 강남구 학동로101길 21 상가104호 야나기일식집 초밥스시 청담역점,무료,,N,032-834-6186,37.5217787,127.0571517,
홍주고깃간,서울특별시 관악구 남현1길 59 2층 3층,무료,,N,02-581-5454,37.475978,126.9807363,
반앤파파,경기도 평택시 만세로 1726 (031-691-5859),무료,,N,031-691-5859,37.013119,127.1113988,
포앵제로(Point Zero),세종특별자치시 도움8로 81 . 1층 B-106호,무료,,N,044-868-3453,36.5046913,127.2708516,
돈블랑 분당서현점,경기도 성남시 분당구 새마을로 8 1층,무료,,N,031-707-8100,37.3838677,127.131566,
한근두근,경상남도 김해시 분성로 518,무료,,N,041-552-1929,35.235301,128.9024,
우미남 센텀점,부산광역시 해운대구 센텀동로 102 센텀필1 119， 120호 우미남 센텀점,무료,,N,010-8055-1352,35.1763623,129.1265867,
남해,경상남도 남해군 남해읍 망운로9번길 12 남해군청,무료,,N,032-323-3311,34.837707,127.892475,
화덕위에고등어,경기도 용인시 기흥구 용구대로 2181,무료,,N,031-282-2967,37.2823805,127.1053913,
대동원회시장,서울특별시 종로구 창경궁로34길 18-4,무료,,N,02-929-6933,37.5843155,127.0009993,
청덕원,경기도 성남시 분당구 문정로140번길 9-1 청덕원,무료,,N,031-702-5222,37.3825926,127.1522675,
게방식당,서울특별시 강남구 선릉로131길 17 1층,무료,,N,010-8479-1107,37.5173134,127.0394411,
광어2마리15000원,경기도 안양시 동안구 흥안대로 102,무료,,N,02-462-6801,37.3695559,126.9559563,
테라스바베큐키친,경기도 용인시 기흥구 청명산로 136 테라스바베큐키친,무료,,N,010-6440-0513,37.264975,127.0863128,
원디쉬파스타,서울특별시 강남구 선릉로129길 20 2층,무료,,N,02-515-7678,37.5161247,127.0399143,
한암동 정동점,서울특별시 중구 정동길 21-15 정동빌딩 신관 1층,무료,,N,02-3789-8324,37.5678521,126.9708541,
예천한우정육타운,서울특별시 강남구 삼성로103길 5 1층 예천한우정육타운,무료,,N,02-563-7887,37.5102865,127.0541402,
진1926 광교상현점,경기도 용인시 수지구 광교중앙로 305 광교2차 푸르지오시티 C동 117호,무료,,N,031-216-1926,37.2972893,127.0686609,
두어마리 논현점,서울특별시 강남구 언주로148길 14 청호불교문화원,무료,,N,02-3444-8777,37.5200175,127.0356429,
부자곱 천안점,충청남도 천안시 서북구 원두정3길 26,무료,,N,041-567-5080,36.8325874,127.1377909,
도쿄등심 여의도점,서울특별시 영등포구 여의나루로 50 한국교직원공제회관 지하1층 9호,무료,,N,02-782-2260,37.5218052,126.9256512,
신사 모소리,서울특별시 강남구 도산대로1길 24 1층 신사모소리,무료,,N,02-3447-0542,37.5181922,127.0201102,
사조회참치 삼성점,서울특별시 강남구 영동대로86길 17,무료,,N,02-561-4503,37.508317,127.065619,
어울더울 과천본점,경기도 과천시 제비울길 43 어울더울,무료,,N,02-503-6817,37.4095862,126.993128,
썸원스키친,울산광역시 남구 돋질로239번길 34,무료,,N,052-256-3520,35.5459912,129.3300112,
솜씨 여의도점,서울특별시 동작구 노들로2길 7 C동 지하 B06호,무료,,N,02-782-5388,37.5141209,126.9379258,
소담본가,경기도 이천시 마장면 억만리로22번길 10 소담본가,무료,,N,044-868-0292,37.2574214,127.3596448,
Gings Kitchen,경기도 파주시 조리읍 봉천로 37-23,무료,,N,070-8777-4125,37.7432937,126.8065103,
우천식육식당,서울특별시 강남구 도산대로8길 17 1층,무료,,N,02-3443-1005,37.5158287,127.0223846,
326숯불구이,서울특별시 성동구 장터5길 4 1층,무료,,N,070-7783-4320,37.5486298,127.0213596,
백경식당,서울특별시 용산구 한강대로54길 20,무료,,N,02-793-0785,37.5325,126.9726625,
청도양꼬치 영등포점,서울특별시 영등포구 영등포로 248 대흥빌딩 101호,무료,,N,02-703-7200,37.5187669,126.908772,
계탄집,서울특별시 광진구 능동로 31 1층 계탄집,무료,,N,02-464-6804,37.5343016,127.0677823,
잇츠,서울특별시 중구 을지로5길 16 삼화타워,무료,,N,032-322-1994,37.5670014,126.9846906,
뚝뗀,서울특별시 강남구 언주로 118 지하상가 112호,무료,,N,02-3461-4557,37.4869274,127.0520497,
평가옥 분당점,경기도 성남시 분당구 느티로51번길 9,무료,,N,031-786-1571,37.36959,127.110076,
6회말연어,서울특별시 관악구 봉천로 485-1 봉천동,무료,,N,02-871-0270,37.4820301,126.9540857,
화포식당 여의도점,서울특별시 영등포구 여의대방로65길 6 센터빌딩 2층 화포식당 여의도점,무료,,N,02-761-5563,37.5191547,126.9305158,
안치순 식당,충청북도 청주시 상당구 남사로89번길 64,무료,,N,010-5609-3760,36.6351138,127.485601,
송추가마골 인 어반 강남점,서울특별시 강남구 테헤란로 134 포스코타워 역삼 지하 1층,무료,,N,02-554-9290,37.4995167,127.0337421,
개화옥,서울특별시 강남구 압구정로50길 7 정동상가 107호,무료,,N,02-549-1459,37.5277987,127.0384408,
더라운드 삼성점,서울특별시 강남구 영동대로 648 삼안빌딩 1층,무료,,N,02-543-4448,37.5200328,127.0576029,
더블인,서울특별시 구로구 디지털로 272,무료,1,N,031-906-5300,37.4824822,126.8944369,
투뿔등심 광화문점,서울특별시 중구 세종대로 136,무료,,N,02-3783-0607,37.5684009,126.9785521,
치폴라로쏘,서울특별시 강남구 영동대로114길 5 B1층,무료,,N,02-512-1274,37.5153163,127.0603942,
세비야식당,경기도 수원시 영통구 센트럴파크로127번길 25 1층 세비야 식당,무료,,N,,37.2949124,127.0550572,
로얄맨션 서래마을점,서울특별시 서초구 사평대로22길 9 2층,무료,,N,02-593-2655,37.4992089,126.997773,
